injectionId,authorId,split,component,collisionState,centerLabel,labelMultiplicity,labelAreaPixels,offsetIndex,drawIndex,referenceX,referenceY,raDeg,decDeg,offsetRadiusPixels,offsetRadiusArcsec,topologyRule,segmentedFraction5x5,sameLabelFraction5x5,inputF090WVegaMag,inputF150WVegaMag,inputF090WMinusF150WMag
I-26714-01-01,26714,development,other,blank,0,0,,1,1,9691.66436883675,1788.2830907559674,163.3580040005711,16.795026961583034,7.5,0.23418383551428903,unsegmented-local-field,0.0,0.0,25.061611581275073,24.247,0.8146115812750745
I-26714-01-02,26714,development,other,blank,0,0,,1,2,9691.66436883675,1788.2830907559674,163.3580040005711,16.795026961583034,7.5,0.23418383551428903,unsegmented-local-field,0.0,0.0,25.33171997409391,24.247,1.0847199740939102
I-26714-01-03,26714,development,other,blank,0,0,,1,3,9691.66436883675,1788.2830907559674,163.3580040005711,16.795026961583034,7.5,0.23418383551428903,unsegmented-local-field,0.0,0.0,25.461611581275076,24.647000000000002,0.8146115812750745
I-26714-01-04,26714,development,other,blank,0,0,,1,4,9691.66436883675,1788.2830907559674,163.3580040005711,16.795026961583034,7.5,0.23418383551428903,unsegmented-local-field,0.0,0.0,25.731719974093913,24.647000000000002,1.0847199740939102
I-26714-01-05,26714,development,other,blank,0,0,,1,5,9691.66436883675,1788.2830907559674,163.3580040005711,16.795026961583034,7.5,0.23418383551428903,unsegmented-local-field,0.0,0.0,25.861611581275074,25.047,0.8146115812750745
I-26714-01-06,26714,development,other,blank,0,0,,1,6,9691.66436883675,1788.2830907559674,163.3580040005711,16.795026961583034,7.5,0.23418383551428903,unsegmented-local-field,0.0,0.0,26.13171997409391,25.047,1.0847199740939102
I-26714-01-07,26714,development,other,blank,0,0,,1,7,9691.66436883675,1788.2830907559674,163.3580040005711,16.795026961583034,7.5,0.23418383551428903,unsegmented-local-field,0.0,0.0,26.261611581275076,25.447000000000003,0.8146115812750745
I-26714-01-08,26714,development,other,blank,0,0,,1,8,9691.66436883675,1788.2830907559674,163.3580040005711,16.795026961583034,7.5,0.23418383551428903,unsegmented-local-field,0.0,0.0,26.531719974093914,25.447000000000003,1.0847199740939102
I-26714-02-01,26714,development,other,blank,0,0,,2,1,9682.080590704747,1800.1007837921138,163.35806537931606,16.79490879893854,12.0,0.37469413682286246,unsegmented-local-field,0.0,0.0,25.061611581275073,24.247,0.8146115812750745
I-26714-02-02,26714,development,other,blank,0,0,,2,2,9682.080590704747,1800.1007837921138,163.35806537931606,16.79490879893854,12.0,0.37469413682286246,unsegmented-local-field,0.0,0.0,25.33171997409391,24.247,1.0847199740939102
I-26714-02-03,26714,development,other,blank,0,0,,2,3,9682.080590704747,1800.1007837921138,163.35806537931606,16.79490879893854,12.0,0.37469413682286246,unsegmented-local-field,0.0,0.0,25.461611581275076,24.647000000000002,0.8146115812750745
I-26714-02-04,26714,development,other,blank,0,0,,2,4,9682.080590704747,1800.1007837921138,163.35806537931606,16.79490879893854,12.0,0.37469413682286246,unsegmented-local-field,0.0,0.0,25.731719974093913,24.647000000000002,1.0847199740939102
I-26714-02-05,26714,development,other,blank,0,0,,2,5,9682.080590704747,1800.1007837921138,163.35806537931606,16.79490879893854,12.0,0.37469413682286246,unsegmented-local-field,0.0,0.0,25.861611581275074,25.047,0.8146115812750745
I-26714-02-06,26714,development,other,blank,0,0,,2,6,9682.080590704747,1800.1007837921138,163.35806537931606,16.79490879893854,12.0,0.37469413682286246,unsegmented-local-field,0.0,0.0,26.13171997409391,25.047,1.0847199740939102
I-26714-02-07,26714,development,other,blank,0,0,,2,7,9682.080590704747,1800.1007837921138,163.35806537931606,16.79490879893854,12.0,0.37469413682286246,unsegmented-local-field,0.0,0.0,26.261611581275076,25.447000000000003,0.8146115812750745
