authorId,host,component,split,band,raDeg,decDeg,shiftedRaDeg,shiftedDecDeg,mosaicX,mosaicY,edgeDistancePixels,validCoverage,centerContributionCount,centerSegmentationLabel,nearestCatalogLabel,nearestCatalogDistanceArcsec,secondCatalogDistanceArcsec,catalogMatchedAt0_3Arcsec,catalogSourcesWithin1Arcsec,centerLabelEqualsNearestCatalogLabel,centerScienceMJySr,centerErrorMJySr,centerWeight,referenceFluxJy,referenceCombinedErrorJy,referenceSignalToNoise,referenceVegaMag,referenceBackgroundMJySr,referenceBackgroundRobustSigmaMJySr,referenceApertureSegmentedFraction,referenceTargetLabelFraction,sensitivityFluxJy,sensitivityCombinedErrorJy,sensitivitySignalToNoise,sensitivityVegaMag,sensitivityBackgroundMJySr
1055,N3447Spiral,spiral,validation,F090W,163.34825,16.79841,163.3482558031922,16.79838777777778,9597.656189732963,648.8075108871658,292.34381026703704,True,4,0,235,0.7579972006049681,1.3504860198814037,False,1,False,0.8835791945457458,0.03105206787586212,1705.0784912109375,9.579918413459142e-08,4.067777548569e-09,23.550743124656,25.96258522612433,0.3627452254295349,0.018632826286554334,0.0,0.0,9.823977602082787e-08,3.916614058034532e-09,25.08283291770836,25.935271343182144,0.3653919994831085
2067,N3447Spiral,spiral,validation,F090W,163.34715,16.79693,163.3471558031469,16.79690777777778,9392.025090176294,609.1446309207363,497.9749098237062,True,4,0,219,1.342531232219149,1.7038358820633335,False,0,False,0.7483993172645569,0.029252367094159126,1704.4368896484375,5.373734151861143e-08,3.776850947079095e-09,14.22808108436747,26.590299309002322,0.35849282145500183,0.017685700365900992,0.0,0.0,5.185326160581517e-08,2.9039720056512736e-09,17.85597846842399,26.629049554767683,0.3577147424221039
3321,N3447Spiral,spiral,validation,F090W,163.35086,16.7993,163.3508658032194,16.799277777777778,9810.55407794294,868.3330009358708,79.44592205706067,True,4,0,435,0.5719053118594091,0.9656173594512043,False,2,False,0.46285051107406616,0.024196472018957138,1711.100341796875,7.104091318873972e-08,4.347219637859995e-09,16.34168942605141,26.287218413772198,0.38016536831855774,0.02261775404512882,0.0,0.0,5.315479923758755e-08,3.431873843292296e-09,15.48856445917447,26.602133546817573,0.3761806935071945
3366,N3447Spiral,spiral,development,F090W,163.34379,16.79359,163.34379580304483,16.793567777777778,8887.77404675868,431.49624869147397,431.49624869147397,True,4,0,98,1.3092730361610012,1.474117775840709,False,0,False,0.8792679309844971,0.03179103136062622,1642.8834228515625,1.9950615657328238e-07,4.505458227839749e-09,44.280991296403705,25.166098996905152,0.3639872968196869,0.01816426726877689,0.0,0.0,1.803118287690767e-07,4.041077028626242e-09,44.61974555094621,25.27592920695944,0.3653627932071686
4945,N3447Spiral,spiral,validation,F090W,163.3509,16.79854,163.35090580319613,16.79851777777778,9732.66258640349,908.7098288394322,157.33741359650958,True,4,0,479,1.2396174359516847,1.392998523029432,False,0,False,1.1621499061584473,0.034271564334630966,1712.459716796875,2.6543470429204487e-07,4.714791408462753e-09,56.29829218225992,24.856095491970958,0.36647558212280273,0.019698743373155594,0.0,0.0,2.5059368076875866e-07,4.2561826718536135e-09,58.877567080461425,24.918564464346602,0.3691187649965286
8638,N3447Spiral,spiral,development,F090W,163.34595,16.79274,163.34595580301882,16.792717777777778,8897.533538958694,689.0819256337704,689.0819256337704,True,4,258,258,0.02268301300262074,0.3862114024844409,True,3,True,0.4751063585281372,0.024674970656633377,1707.456298828125,9.006596380095215e-08,4.196137270083777e-09,21.464017500827364,26.029588000309335,0.4026709645986557,0.019643445941805837,0.7646756509821836,0.7646756509821836,6.079108006963313e-08,3.2650747715075637e-09,18.618587421066753,26.4563901034726,0.40319567918777466
8644,N3447Spiral,spiral,development,F090W,163.35084,16.79666,163.35084580313867,16.79663777777778,9532.703773025896,992.6273649306445,357.2962269741038,True,4,640,640,0.03676617950931013,0.710251175396172,True,4,True,0.8944509029388428,0.03200206160545349,1650.9271240234375,1.1824017241938423e-07,4.257157065838326e-09,27.77444444514527,25.734077116419297,0.37513718008995056,0.019292595559358597,0.805481016271767,0.805481016271767,1.123673555898761e-07,3.6232301528620773e-09,31.013032804751415,25.789389351120004,0.37739336490631104
8851,N3447Spiral,spiral,validation,F090W,163.35147,16.79708,163.35147580315152,16.79705777777778,9605.61608414062,1035.8006356931705,284.38391585938007,True,4,0,785,0.7205023001000875,0.9556009024919011,False,2,False,0.4814962148666382,0.0243687704205513,1716.423095703125,6.064992205008917e-08,3.871885894325593e-09,15.664181152387293,26.458914134710124,0.36323606967926025,0.01708993295431137,0.0,0.0,4.662627962288443e-08,3.093954336073887e-09,15.07012533418688,26.744412842624726,0.3619612157344818
9061,N3447Spiral,spiral,validation,F090W,163.35075,16.79638,163.3507558031301,16.79635777777778,9499.209872398847,996.9849482620423,390.79012760115256,True,4,0,702,0.8556335849574714,0.939660876480851,False,2,False,1.2127536535263062,0.03726993873715401,1715.59326171875,1.1091877699040625e-07,4.191487928689639e-09,26.462864471396,25.8034770714666,0.379053458571434,0.018929748970270156,0.0,0.0,1.0550620614362729e-07,3.6402855213026134e-09,28.982948047952487,25.857794735552037,0.37873363494873047
10465,N3447Spiral,spiral,validation,F090W,163.34505,16.79114,163.3450558029699,16.791117777777778,8688.473170324196,675.2396632876435,675.2396632876435,True,4,0,209,1.8635283642838956,2.4493887530620153,False,0,False,0.852367103099823,0.03110416792333126,1706.78271484375,8.628947408821209e-08,4.18183737105434e-09,20.63434477043197,26.0760951970675,0.36852066218852997,0.02013277187347412,0.0,0.0,6.851154481273113e-08,3.250341276884161e-09,21.07826193513058,26.32658035179932,0.36810147762298584
